protein1	protein2	combined_score
KLRK1	LILRB1	0.786
KLRK1	B2M	0.805
KLRK1	KLRC1	0.847
KLRK1	KLRC2	0.931
KLRK1	KLRD1	0.938
KLRK1	CD8A	0.946
KLRK1	HLA-E	0.997
HLA-F	KLRC3-2	0.718
HLA-F	KLRC2	0.785
HLA-F	KLRC1	0.965
HLA-F	HLA-E	0.997
LILRB1	KLRC2	0.766
LILRB1	KLRC1	0.901
KLRD1	KLRC3-2	0.998
KLRD1	HLA-E	0.999
KLRD1	KLRC1	0.999
KLRD1	KLRC2	0.999
HLA-E	KLRC3-2	0.998
HLA-E	KLRC1	0.999
HLA-E	KLRC2	0.999
KLRC2	CD8A	0.705
KLRC2	HLA-B	0.822
KLRC2	B2M	0.901
KLRC2	KLRC1	0.965
KLRC2	KLRC3-2	0.976
CD8A	KLRC1	0.774
HLA-B	KLRC3-2	0.737
HLA-B	KLRC1	0.867
KLRC3-2	KLRC1	0.904
KLRC1	B2M	0.99
HLA-F	HLA-DMA	0.97
HLA-F	HLA-G	0.978
HLA-F	LILRB2	0.994
LILRB1	HLA-G	0.999
KIR3DL2	HLA-G	0.957
HLA-DMA	HLA-G	0.783
HLA-DMA	B2M	0.838
HLA-DMA	HLA-E	0.965
HLA-DMA	HLA-A	0.966
HLA-C	HLA-G	0.95
HLA-E	HLA-G	0.98
HLA-G	HLA-A	0.947
HLA-G	HLA-B	0.959
HLA-G	LILRB2	0.999
HLA-G	B2M	0.999
STAC	LILRB1	0.714
STAC	KIR2DL4	0.794
STAC	HLA-G	0.992
KLRD1	KIR2DL4	0.807
KLRD1	CD160	0.839
KLRD1	HLA-G	0.998
KIR2DL4	CD160	0.72
KIR2DL4	KLRC1	0.789
KIR2DL4	HLA-E	0.936
KIR2DL4	HLA-G	0.998
CD160	HLA-E	0.776
CD160	CD8A	0.89
CD160	HLA-G	0.992
HLA-G	KLRC1	0.998
HLA-G	CD8A	0.998
SLC40A1	HJV	0.904
SLC40A1	HFE	0.921
SLC40A1	TFRC	0.936
SLC40A1	CYBRD1	0.946
SLC40A1	TFR2	0.959
SLC40A1	SLC11A2	0.987
SLC40A1	HAMP	0.999
BMP6	TFR2	0.887
BMP6	TMPRSS6	0.889
BMP6	HAMP	0.897
BMP6	HFE	0.905
BMP6	HJV	0.998
CYBRD1	TMPRSS6	0.708
CYBRD1	HJV	0.788
CYBRD1	TFR2	0.807
CYBRD1	TFRC	0.851
CYBRD1	HFE	0.908
CYBRD1	HAMP	0.926
CYBRD1	SLC11A2	0.965
HJV	B2M	0.777
HJV	SLC11A2	0.804
HJV	HAMP	0.983
HJV	TFRC	0.994
HJV	TMPRSS6	0.997
HJV	HFE	0.998
HJV	TFR2	0.999
TFRC	TMPRSS6	0.858
TFRC	TFR2	0.909
TFRC	HAMP	0.934
TFRC	SLC11A2	0.96
TFRC	B2M	0.998
TFRC	HFE	0.999
SLC11A2	TFR2	0.838
SLC11A2	HFE	0.897
SLC11A2	HAMP	0.942
TMPRSS6	TFR2	0.919
TMPRSS6	HFE	0.933
TMPRSS6	HAMP	0.962
HFE	HAMP	0.966
HFE	TFR2	0.999
HFE	B2M	0.999
TFR2	B2M	0.863
TFR2	HAMP	0.941
RPL35	HMGN4	0.939
RPL35	RPS15	0.999
RPL35	RPL8	0.999
RPL35	RPL11	0.999
RPL35	RPS18	0.999
RPL35	RPL5	0.999
RPL35	RPL23	0.999
RPL35	RPS3	0.999
RPL35	FAU	0.999
RPL35	RPS11	0.999
RPL8	HMGN4	0.943
RPL8	RPS15	0.999
RPL8	RPL11	0.999
RPL8	RPL5	0.999
RPL8	RPS18	0.999
RPL8	RPL23	0.999
RPL8	RPS3	0.999
RPL8	FAU	0.999
RPL8	RPS11	0.999
RPS11	HMGN4	0.938
RPS11	RPL11	0.999
RPS11	RPS18	0.999
RPS11	RPL5	0.999
RPS11	RPL23	0.999
RPS11	RPS15	0.999
RPS11	RPS3	0.999
RPS11	FAU	0.999
RPS3	HMGN4	0.938
RPS3	RPS18	0.999
RPS3	RPL5	0.999
RPS3	RPL23	0.999
RPS3	RPL11	0.999
RPS3	FAU	0.999
RPL5	HMGN4	0.938
RPL5	FAU	0.999
RPL5	RPL23	0.999
RPL5	RPS18	0.999
RPL5	RPL11	0.999
RPL5	RPS15	0.999
HMGN4	RPS18	0.939
HMGN4	RPL23	0.939
HMGN4	RPS15	0.945
HMGN4	RPL11	0.949
HMGN4	FAU	0.987
RPS18	RPS15	0.999
RPS18	RPL11	0.999
RPS18	RPL23	0.999
RPS18	FAU	0.999
RPL23	RPL11	0.999
RPL23	RPS15	0.999
RPL23	FAU	0.999
FAU	RPS15	0.999
FAU	RPL11	0.999
RPS15	RPL11	0.999
GCK	HNF4A	0.739
GCK	HNF1B	0.759
GCK	HNF1A	0.901
GCK	NEUROD1	0.93
GCK	PDX1	0.965
NEUROD1	HNF1B	0.762
NEUROD1	PDX1	0.825
NEUROD1	HNF1A	0.856
PCBD1	HNF1B	0.892
PCBD1	HNF1A	0.995
ONECUT1	PTF1A	0.711
ONECUT1	HNF4A	0.867
ONECUT1	HNF1A	0.916
ONECUT1	PDX1	0.928
ONECUT1	HNF1B	0.956
HNF4A	PDX1	0.737
HNF4A	HNF1B	0.851
HNF4A	HNF1A	0.988
PKHD1	UMOD	0.851
PKHD1	HNF1B	0.852
PTF1A	HNF1A	0.801
PTF1A	PDX1	0.855
PTF1A	HNF1B	0.891
PDX1	HNF1B	0.803
PDX1	HNF1A	0.834
UMOD	HNF1B	0.805
HNF1A	HNF1B	0.961
FKBP4	HSPA8	0.942
FKBP4	DNAJB1	0.957
FKBP4	STIP1	0.979
FKBP4	HSPA4	0.998
FKBP4	HSP90AB1	0.999
FKBP4	HSP90AA1	0.999
STUB1	STIP1	0.777
STUB1	HSPBP1	0.962
STUB1	BAG1	0.963
STUB1	DNAJB1	0.979
STUB1	HSPA8	0.999
STUB1	HSP90AA1	0.999
STUB1	HSP90AB1	0.999
STUB1	HSPA4	0.999
STUB1	BAG3	0.999
DNAJB1	BAG3	0.891
DNAJB1	HSPBP1	0.954
DNAJB1	BAG1	0.991
DNAJB1	STIP1	0.997
DNAJB1	HSPA8	0.999
DNAJB1	HSP90AA1	0.999
DNAJB1	HSP90AB1	0.999
DNAJB1	HSPA4	0.999
HSPBP1	STIP1	0.808
HSPBP1	HSP90AA1	0.87
HSPBP1	HSP90AB1	0.902
HSPBP1	BAG1	0.973
HSPBP1	HSPA8	0.998
HSPBP1	HSPA4	0.998
HSPA4	STIP1	0.999
HSPA4	HSP90AB1	0.999
HSPA4	HSP90AA1	0.999
HSPA4	BAG1	0.999
HSPA4	BAG3	0.999
HSP90AA1	BAG1	0.882
HSP90AA1	BAG3	0.895
HSP90AA1	HSP90AB1	0.997
HSP90AA1	HSPA8	0.999
HSP90AA1	STIP1	0.999
STIP1	BAG1	0.771
STIP1	BAG3	0.876
STIP1	HSPA8	0.999
STIP1	HSP90AB1	0.999
BAG3	HSP90AB1	0.96
BAG3	BAG1	0.967
BAG3	HSPA8	0.999
HSP90AB1	BAG1	0.876
HSP90AB1	HSPA8	0.999
HSPA8	BAG1	0.999
PSMA4	IREB2	0.723
AGXT2	HYKK	0.78
IREB2	HYKK	0.771
ETNPPL	HYKK	0.932
PHYKPL	HYKK	0.995
CDKAL1	FTO	0.872
CDKAL1	IGF2BP2	0.898
CDKAL1	HHEX	0.925
HHEX	FTO	0.863
HHEX	IGF2BP2	0.908
HNRNPA2B1	FTO	0.743
HNRNPA2B1	IGF2BP2	0.884
HNRNPA2B1	YTHDF1	0.925
HNRNPA2B1	DHX9	0.932
HNRNPA2B1	YTHDC1	0.935
HNRNPA2B1	HNRNPC	0.999
DHX9	IGF2BP2	0.889
DHX9	HNRNPC	0.992
YTHDF1	IGF2BP2	0.88
YTHDF1	FTO	0.898
YTHDF1	YTHDC1	0.919
YTHDF1	HNRNPC	0.943
IGF2	IGF2BP2	0.994
IGF2BP2	YTHDC1	0.877
IGF2BP2	HNRNPC	0.886
IGF2BP2	FTO	0.914
IGF2BP2	HMGA2	0.996
FTO	HNRNPC	0.793
FTO	YTHDC1	0.889
HNRNPC	YTHDC1	0.945
IL17C	IL17RD	0.814
IL17C	IL17RC	0.951
IL17C	IL17RA	0.991
IL17C	IL17RB	0.993
IL17C	IL17RE	0.999
IL17B	IL17RC	0.843
IL17B	IL17RD	0.852
IL17B	IL17RE	0.933
IL17B	IL17RA	0.962
IL17B	IL25	0.991
IL17B	IL17RB	0.999
IL17RB	TRAF3IP2	0.755
IL17RB	IL17A	0.918
IL17RB	IL17F	0.919
IL17RB	IL17RD	0.96
IL17RB	IL17RC	0.972
IL17RB	IL17RE	0.986
IL17RB	IL17RA	0.999
IL17RB	IL25	0.999
IL17RC	TRAF3IP2	0.865
IL17RC	IL25	0.908
IL17RC	IL17RE	0.957
IL17RC	IL17RD	0.988
IL17RC	IL17RA	0.998
IL17RC	IL17F	0.999
IL17RC	IL17A	0.999
IL17RD	IL17A	0.737
IL17RD	IL25	0.78
IL17RD	IL17F	0.787
IL17RD	IL17RE	0.959
IL17RD	IL17RA	0.982
IL17RA	TRAF3IP2	0.976
IL17RA	IL17A	0.999
IL17RA	IL17F	0.999
IL17RA	IL25	0.999
IL17RA	IL17RE	0.999
IL25	IL17RE	0.862
IL25	IL17A	0.892
IL25	IL17F	0.957
IL17F	IL17RE	0.966
IL17F	IL17A	0.994
TRAF3IP2	IL17A	0.849
IL17RE	IL17A	0.771
INPP4A	IMPAD1	0.901
INPP4A	INPP4B	0.911
INPP4A	IMPA1	0.911
INPP4A	IMPA2	0.914
INPP4A	ITPK1	0.915
INPP4A	INPP1	0.929
INPP4A	INPP5A	0.93
IMPAD1	INPP4B	0.912
IMPAD1	INPP1	0.915
IMPAD1	IMPA2	0.958
IMPAD1	IMPA1	0.963
ITPK1	INPP4B	0.9
ITPK1	INPP5A	0.911
ITPK1	INPP5K	0.92
ITPK1	INPP1	0.932
ITPK1	INPP5J	0.942
IMPA2	INPP4B	0.91
IMPA2	INPP1	0.972
IMPA2	IMPA1	0.987
INPP5J	INPP5K	0.907
INPP5J	INPP1	0.958
INPP5J	INPP5A	0.991
PLCB1	INPP1	0.921
PLCB1	INPP5A	0.926
INPP5A	INPP4B	0.921
INPP5A	INPP1	0.922
INPP5A	INPP5K	0.957
INPP1	INPP4B	0.915
INPP1	INPP5K	0.915
INPP1	IMPA1	0.965
IMPA1	INPP4B	0.903
SPI1	BATF	0.726
SPI1	STAT6	0.735
SPI1	PAX5	0.817
SPI1	BCL6	0.863
SPI1	IRF4	0.998
STAT3	MYD88	0.838
STAT3	BATF	0.882
STAT3	TRAF6	0.887
STAT3	STAT6	0.899
STAT3	BCL6	0.903
STAT3	PRDM1	0.942
STAT3	IRF4	0.973
BATF	STAT6	0.741
BATF	PRDM1	0.804
BATF	BCL6	0.85
BATF	IRF4	0.995
STAT6	BCL6	0.87
STAT6	IRF4	0.975
PAX5	SPIB	0.8
PAX5	PRDM1	0.907
PAX5	BCL6	0.931
PAX5	IRF4	0.95
PRDM1	IRF4	0.938
IRF4	TRAF6	0.903
IRF4	SPIB	0.933
IRF4	BCL6	0.942
IRF4	MYD88	0.983
TRAF6	MYD88	0.999
KAT7	ING3	0.86
KAT7	JADE2	0.973
KAT7	MEAF6	0.999
KAT7	ING5	0.999
KAT7	ING4	0.999
SETD1A	JADE2	0.73
JADE2	ING3	0.756
JADE2	ING5	0.957
JADE2	MEAF6	0.964
JADE2	ING4	0.975
ING3	MEAF6	0.998
MEAF6	ING4	0.999
MEAF6	ING5	0.999
ING4	ING5	0.922
CXADR	JAML	0.998
CD28	JAML	0.72
JAML	ENSP00000482263	0.748
JAML	PLXNB2	0.814
ME2	JRK	0.825
KCNQ1	CALML6	0.984
KCNQ1	CALML4	0.985
KCNQ1	CALML3	0.988
KCNQ1	CALML5	0.988
KCNQ1	KCNJ2	0.992
KCNQ1	KCNE2	0.999
KCNQ1	AKAP9	0.999
KCNQ1	KCNE3	0.999
KCNQ1	KCNE1	0.999
KCNQ1	CALM3	0.999
KCNJ2	AKAP9	0.776
KCNJ2	KCNE2	0.89
KCNJ2	KCNE1	0.891
KCNE2	AKAP9	0.932
KCNE2	KCNE3	0.965
CALM3	AKAP9	0.826
CALM3	KCNE3	0.972
CALM3	CALML4	0.996
CALM3	CALML5	0.996
CALM3	CALML3	0.996
CALM3	CALML6	0.996
CALML6	AKAP9	0.78
CALML6	CALML4	0.961
CALML6	CALML3	0.962
CALML6	CALML5	0.963
KCNE3	AKAP9	0.909
KCNE3	KCNE1	0.971
CALML3	AKAP9	0.802
CALML3	CALML4	0.963
CALML3	CALML5	0.967
AKAP9	CALML4	0.78
AKAP9	CALML5	0.802
AKAP9	KCNE1	0.983
CALML5	CALML4	0.964
NCAPG	KIF18A	0.813
NCAPG	KIF20B	0.823
NCAPG	RACGAP1	0.864
NCAPG	KIF15	0.919
NCAPG	CENPE	0.92
NCAPG	NUF2	0.93
NCAPG	KIF23	0.949
NCAPG	ASPM	0.972
NCAPG	KIF11	0.975
KIF23	KIF20B	0.861
KIF23	KIF15	0.893
KIF23	NUF2	0.912
KIF23	KIF18A	0.921
KIF23	CENPE	0.969
KIF23	ASPM	0.987
KIF23	KIF11	0.994
KIF23	RACGAP1	0.999
KIF11	KIF20B	0.895
KIF11	KIF18A	0.97
KIF11	NUF2	0.975
KIF11	RACGAP1	0.978
KIF11	KIF15	0.983
KIF11	CENPE	0.988
KIF11	ASPM	0.989
KIF18A	RACGAP1	0.787
KIF18A	KIF20B	0.819
KIF18A	ASPM	0.865
KIF18A	KIF15	0.943
KIF18A	NUF2	0.946
KIF18A	CENPE	0.985
CENPE	RACGAP1	0.833
CENPE	KIF15	0.932
CENPE	KIF20B	0.95
CENPE	ASPM	0.981
CENPE	NUF2	0.996
NUF2	RACGAP1	0.783
NUF2	KIF20B	0.839
NUF2	KIF15	0.936
NUF2	ASPM	0.98
KIF15	RACGAP1	0.81
KIF15	KIF20B	0.883
KIF15	ASPM	0.971
HTR7	KIF20B	0.787
ASPM	RACGAP1	0.795
ASPM	KIF20B	0.819
KIF20B	RACGAP1	0.954
CDH1	KRT19	0.747
CDH1	DSP	0.761
CDH1	KRT8	0.826
CDH1	TP53	0.853
CDH1	KRT18	0.881
CDH1	EPCAM	0.905
CDH1	EGFR	0.999
EPCAM	KRT18	0.789
EPCAM	KRT8	0.845
EPCAM	KRT19	0.888
EPCAM	EGFR	0.923
TP53	KRT8	0.763
TP53	SQSTM1	0.901
TP53	EGFR	0.943
EGFR	KRT8	0.754
EGFR	KRT18	0.84
PLEC	PPL	0.734
PLEC	KRT18	0.782
PLEC	KRT8	0.783
PPL	KRT8	0.791
KRT19	KRT8	0.796
KRT19	DSP	0.84
KRT19	KRT18	0.928
DSP	KRT8	0.869
KRT18	KRT8	0.999
SQSTM1	KRT8	0.798
NCAPG	DCAF16	0.723
NCAPG	FAM184B	0.747
NCAPG	LCORL	0.864
FAM184B	DCAF16	0.759
FAM184B	LCORL	0.777
CTBP1	LCORL	0.86
PLAG1	LCORL	0.711
LCORL	DCAF16	0.716
LMAN1L	MCFD2	0.823
CHPT1	CEPT1	0.905
CHPT1	PLPP4	0.919
CHPT1	PLPP5	0.919
CHPT1	SELENOI	0.923
CHPT1	LPIN2	0.928
CHPT1	LPIN3	0.936
CHPT1	LPIN1	0.938
CHPT1	PLPP3	0.949
CHPT1	PLPP2	0.958
SELENOI	PLPP4	0.918
SELENOI	PLPP5	0.919
SELENOI	LPIN3	0.92
SELENOI	LPIN2	0.921
SELENOI	LPIN1	0.922
SELENOI	CEPT1	0.926
SELENOI	PLPP3	0.942
SELENOI	PLPP2	0.949
LPIN2	CDS2	0.92
LPIN2	PLPP5	0.92
LPIN2	PLPP4	0.92
LPIN2	CEPT1	0.934
LPIN2	LPIN3	0.963
LPIN2	LPIN1	0.963
LPIN2	PLPP3	0.974
LPIN2	PLPP2	0.975
PLPP2	CEPT1	0.934
PLPP2	PLPP5	0.94
PLPP2	PLPP4	0.943
PLPP2	CDS2	0.947
PLPP2	PLPP3	0.95
PLPP2	LPIN3	0.966
PLPP2	LPIN1	0.985
PLPP3	PLPP4	0.908
PLPP3	PLPP5	0.909
PLPP3	CEPT1	0.934
PLPP3	CDS2	0.939
PLPP3	LPIN3	0.961
PLPP3	LPIN1	0.973
PLPP4	CDS2	0.905
PLPP4	CEPT1	0.919
PLPP4	LPIN3	0.92
PLPP4	PLPP5	0.924
PLPP4	LPIN1	0.947
PLPP5	CDS2	0.906
PLPP5	CEPT1	0.919
PLPP5	LPIN3	0.92
PLPP5	LPIN1	0.944
LPIN1	CDS2	0.926
LPIN1	CEPT1	0.942
LPIN1	LPIN3	0.98
CDS2	LPIN3	0.919
CEPT1	LPIN3	0.933
GRIN2A	LRFN2	0.802
GRIN2A	DLG1	0.979
GRIN2A	DLG3	0.998
GRIN2A	GRIN1	0.999
GRIN2A	DLG4	0.999
DLG1	GRIN1	0.878
DLG1	LRFN2	0.935
DLG1	DLG4	0.956
DLG1	DLG3	0.974
LRFN2	GRIN1	0.894
LRFN2	DLG3	0.944
LRFN2	DLG4	0.959
GRIN1	DLG3	0.879
GRIN1	DLG4	0.998
DLG3	DLG4	0.997
LUZP2	GAS2	0.911
SLURP1	LY6K	0.716
SLURP1	LY6H	0.721
SLURP1	LYNX1	0.967
NUF2	LY6K	0.709
NUF2	DEPDC1	0.898
LY6K	DEPDC1	0.707
LY6K	LY6H	0.738
LY6K	LYNX1	0.742
LY6K	LYPD2	0.794
LY6K	TEX101	0.815
LYPD2	LY6H	0.715
LYPD2	LYNX1	0.776
LY6H	LYNX1	0.807
MACROD2	PARP10	0.75
MACROD2	PARG	0.778
MACROD2	ADPRHL2	0.8
MACROD2	OARD1	0.811
MACROD2	FLRT3	0.959
ADPRHL2	OARD1	0.775
ADPRHL2	PARG	0.875
PARG	OARD1	0.779
OARD1	PARP10	0.71
TRAF2	MAPK8	0.771
TRAF2	MAP2K7	0.924
TRAF2	MAP3K1	0.984
TRAF2	IKBKB	0.994
TRAF2	CHUK	0.995
TRAF2	TRAF6	0.995
TRAF2	IKBKG	0.999
MAP2K2	MAPK8	0.924
MAP2K2	MAP3K1	0.971
MAP2K2	MAP2K1	0.996
MAP2K1	MAP2K4	0.826
MAP2K1	MAPK8	0.934
MAP2K1	MAP3K1	0.989
CHUK	MAP3K1	0.971
CHUK	TRAF6	0.999
MAPK8	TRAF6	0.972
MAPK8	MAP3K1	0.993
MAPK8	MAP2K7	0.996
MAPK8	MAP2K4	0.999
MAP2K7	MAP2K4	0.956
MAP2K7	MAP3K1	0.981
MAP3K1	TRAF6	0.973
MAP3K1	IKBKG	0.975
MAP3K1	IKBKB	0.982
MAP3K1	MAP2K4	0.995
IKBKB	TRAF6	0.999
TRAF6	IKBKG	0.999
MDM2	UBB	0.961
MDM2	CSNK1A1	0.961
MDM2	SFN	0.989
MDM2	UBC	0.99
MDM2	RPS27A	0.994
MDM2	ATM	0.995
MDM2	USP7	0.999
MDM2	MDM4	0.999
CSNK1A1	TP53	0.926
CSNK1A1	RPS27A	0.927
CSNK1A1	MDM4	0.971
TP53	UBB	0.799
TP53	UBC	0.921
TP53	RPS27A	0.971
TP53	SFN	0.999
TP53	MDM4	0.999
TP53	USP7	0.999
RPS27A	CDKN2A	0.75
RPS27A	MDM4	0.97
RPS27A	USP7	0.987
RPS27A	UBB	0.998
RPS27A	UBC	0.998
ATM	UBC	0.733
ATM	CDKN2A	0.847
ATM	MDM4	0.954
SFN	MDM4	0.977
USP7	MDM4	0.973
USP7	UBB	0.984
USP7	UBC	0.997
MDM4	UBB	0.959
MDM4	CDKN2A	0.963
MDM4	UBC	0.967
UBC	UBB	0.998
ULBP1	MICA	0.813
ULBP1	ULBP2	0.911
ULBP1	MICB	0.973
ULBP1	KLRK1	0.999
KLRK1	MICA	0.999
KLRK1	MICB	0.999
KLRK1	ULBP2	0.999
MICB	MICA	0.918
MICB	ULBP2	0.971
ULBP2	MICA	0.844
MICA	IGHV3-16	0.9
MICA	IGHV3-43D	0.909
IGHV3-16	IGHV3-43D	0.953
HBG1	MIPEP	0.853
HBG1	HBS1L	0.931
HBG1	HBG2	0.999
HBG2	MIPEP	0.906
HBG2	HBS1L	0.951
XPNPEP3	MIPEP	0.74
HBS1L	MIPEP	0.92
MIPEP	TNFRSF19	0.713
MIPEP	FXN	0.801
ASF1A	MMS22L	0.712
ASF1A	ASF1B	0.871
ASF1A	TONSL	0.892
ASF1A	MCM6	0.9
ASF1A	MCM2	0.992
ASF1B	MMS22L	0.874
ASF1B	TONSL	0.929
ASF1B	MCM6	0.939
ASF1B	MCM2	0.996
MCM6	TONSL	0.733
MCM6	RAD51	0.774
MCM6	MMS22L	0.787
MCM6	SSRP1	0.865
MCM6	MCM2	0.999
MCM2	MMS22L	0.705
MCM2	RAD51	0.734
MCM2	SSRP1	0.914
MCM2	TONSL	0.964
MMS22L	RAD51	0.713
MMS22L	BRCA1	0.748
MMS22L	SSRP1	0.815
MMS22L	ESCO2	0.824
MMS22L	TONSL	0.999
SSRP1	TONSL	0.876
TONSL	BRCA1	0.733
CD4	MBP	0.773
CD4	MOG	0.795
CD4	IL17A	0.972
CD4	IL10	0.976
CD4	IFNG	0.991
IFNG	MOG	0.823
IFNG	IL17A	0.978
IFNG	IL10	0.995
MOBP	CNP	0.741
MOBP	MBP	0.754
MOBP	MAG	0.763
MOBP	PLP1	0.831
MOBP	MOG	0.897
CNTN2	MOG	0.773
MOG	IL10	0.772
MOG	CNP	0.835
MOG	IL17A	0.856
MOG	PLP1	0.903
MOG	MAG	0.935
MOG	MBP	0.955
MAG	CNP	0.878
MAG	PLP1	0.897
MAG	MBP	0.989
CNP	PLP1	0.847
CNP	MBP	0.907
MBP	PLP1	0.988
IL10	IL17A	0.98
YEATS4	TRRAP	0.997
YEATS4	MRGBP	0.998
YEATS4	BRD8	0.998
YEATS4	ING3	0.998
YEATS4	KAT5	0.999
YEATS4	DMAP1	0.999
YEATS4	MORF4L1	0.999
YEATS4	MEAF6	0.999
BRD8	MRGBP	0.994
BRD8	ING3	0.997
BRD8	MEAF6	0.998
BRD8	TRRAP	0.998
BRD8	KAT5	0.998
BRD8	MORF4L1	0.998
BRD8	DMAP1	0.999
PALB2	MORF4L1	0.998
ING3	MRGBP	0.993
ING3	DMAP1	0.998
ING3	TRRAP	0.998
ING3	KAT5	0.999
ING3	MORF4L1	0.999
PHF12	MORF4L1	0.999
MORF4L1	DMAP1	0.998
MORF4L1	TRRAP	0.998
MORF4L1	MEAF6	0.999
MORF4L1	KAT5	0.999
MORF4L1	MRGBP	0.999
KAT5	MRGBP	0.997
KAT5	MEAF6	0.999
KAT5	DMAP1	0.999
KAT5	TRRAP	0.999
TRRAP	DMAP1	0.999
TRRAP	MRGBP	0.999
TRRAP	MEAF6	0.999
MRGBP	MEAF6	0.997
MRGBP	DMAP1	0.999
DMAP1	MEAF6	0.999
TEKT1	MORN5	0.745
TEKT1	C9orf135	0.886
MORN3	MORN5	0.781
MORN5	C9orf135	0.7
MPZL3	FLOT2	0.729
MRPS7	MRPL55	0.926
MRPS7	MRPL37	0.932
MRPS7	MRPL23	0.971
MRPS7	MRPL41	0.983
MRPS7	MRPS30	0.986
MRPS7	MRPS22	0.995
MRPS7	MRPS18A	0.997
MRPS7	MRPS27	0.997
MRPS7	MRPS9	0.999
MRPS7	DAP3	0.999
MRPS9	MRPL55	0.903
MRPS9	MRPL37	0.917
MRPS9	MRPS30	0.986
MRPS9	MRPL41	0.992
MRPS9	MRPL23	0.993
MRPS9	MRPS18A	0.993
MRPS9	MRPS27	0.995
MRPS9	MRPS22	0.997
DAP3	MRPL55	0.883
DAP3	MRPL37	0.914
DAP3	MRPS30	0.991
DAP3	MRPS18A	0.993
DAP3	MRPL23	0.994
DAP3	MRPL41	0.997
DAP3	MRPS27	0.998
DAP3	MRPS22	0.998
MRPL41	MRPS27	0.846
MRPL41	MRPS22	0.887
MRPL41	MRPL37	0.987
MRPL41	MRPL55	0.987
MRPL41	MRPS30	0.993
MRPL41	MRPS18A	0.994
MRPL41	MRPL23	0.999
MRPS18A	MRPL37	0.939
MRPS18A	MRPL55	0.944
MRPS18A	MRPS30	0.986
MRPS18A	MRPS27	0.987
MRPS18A	MRPS22	0.99
MRPS18A	MRPL23	0.99
MRPL23	MRPS22	0.888
MRPL23	MRPS27	0.89
MRPL23	MRPL55	0.933
MRPL23	MRPL37	0.961
MRPL23	MRPS30	0.986
MRPL55	MRPS27	0.876
MRPL55	MRPS22	0.879
MRPL55	MRPL37	0.973
MRPL55	MRPS30	0.987
MRPS22	MRPL37	0.881
MRPS22	MRPS30	0.986
MRPS22	MRPS27	0.999
MRPS30	MRPS27	0.99
MRPS30	MRPL37	0.992
MRPS27	MRPL37	0.903
ILVBL	ENSP00000428055	0.706
ILVBL	ADHFE1	0.706
ILVBL	MRTFA	0.863
SRF	RHOA	0.776
SRF	MRTFA	0.999
SORD	MRTFA	0.865
SORD	ADHFE1	0.874
SORD	ENSP00000428055	0.874
PHACTR1	MRTFA	0.898
PHACTR1	ACTA1	0.93
ACTA1	MRTFA	0.917
RBM15	MRTFA	0.954
ADHFE1	HSDL2	0.889
ADHFE1	MRTFA	0.955
HSDL2	MRTFA	0.877
HSDL2	ENSP00000428055	0.883
RHOA	MRTFA	0.887
ENSP00000428055	MRTFA	0.955
MLH1	SPO11	0.771
MLH1	HFM1	0.825
MLH1	RAD51	0.893
MLH1	MSH5	0.971
MLH1	MSH4	0.986
MLH1	MLH3	0.999
MLH1	PMS1	0.999
MLH1	PMS2	0.999
MSH4	C1orf146	0.863
MSH4	SPO11	0.891
MSH4	PMS2	0.932
MSH4	PMS1	0.942
MSH4	RAD51	0.967
MSH4	HFM1	0.983
MSH4	MLH3	0.995
MSH4	MSH5	0.999
PMS2	RAD51	0.784
PMS2	MSH5	0.949
PMS2	MLH3	0.991
PMS2	PMS1	0.991
MLH3	SPO11	0.709
MLH3	HFM1	0.746
MLH3	RAD51	0.876
MLH3	MSH5	0.986
MLH3	PMS1	0.99
C1orf146	MSH5	0.81
C1orf146	HFM1	0.885
HFM1	RAD51	0.71
HFM1	SPO11	0.818
HFM1	MSH5	0.956
SPO11	MSH5	0.856
SPO11	RAD51	0.965
MSH5	PMS1	0.915
MSH5	RAD51	0.915
MSH5	HJURP	0.932
MRI1	MTAP	0.991
NT5E	EPHX2	0.795
NT5E	MTAP	0.869
NT5E	APRT	0.953
CDKN2B	MTAP	0.818
SRM	SMS	0.971
SRM	MTAP	0.985
APRT	MTAP	0.986
HDDC2	MTAP	0.812
SMS	MTAP	0.986
CDKN2A	MC1R	0.793
CDKN2A	MTAP	0.931
MC1R	MTAP	0.822
INPP4A	MTMR3	0.913
INPP4A	MTMR4	0.917
INPP4A	FIG4	0.934
INPP4A	PIK3C3	0.938
INPP4A	PIKFYVE	0.943
CDIPT	INPP5F	0.9
CDIPT	MTMR4	0.915
CDIPT	MTMR3	0.921
CDIPT	PIKFYVE	0.943
CDIPT	PIK3C3	0.988
FIG4	MTMR3	0.92
FIG4	INPP4B	0.921
FIG4	MTMR4	0.922
FIG4	PIK3C3	0.951
FIG4	PIKFYVE	0.999
PIK3C3	MTMR4	0.819
PIK3C3	MTMR3	0.856
PIK3C3	INPP5F	0.913
PIK3C3	INPP4B	0.927
PIK3C3	PIKFYVE	0.98
PIKFYVE	INPP5F	0.915
PIKFYVE	PIP4P2	0.921
PIKFYVE	MTMR4	0.923
PIKFYVE	PIP4P1	0.924
PIKFYVE	MTMR3	0.925
PIKFYVE	INPP4B	0.925
PIP4P2	PIP4P1	0.905
PIP4P2	MTMR3	0.911
PIP4P2	MTMR4	0.931
